SampleNumber,CTime,Duration,EnergyData
538,48.60103,90.41,1110.9
539,48.6919,90.87,951.2
540,48.78247,90.57,911.8
541,48.87249,90.01,919.1
542,48.96249,90,858.9
543,49.0525,90.01,930.5
544,49.14251,90.01,929
545,49.23254,90.03,893.7
546,49.32254,90,861.8
547,49.41313,90.59,1045.2
548,49.50389,90.76,891.9
549,49.59561,91.72,1077.8
550,49.68736,91.75,1008.2
551,49.77816,90.79,953.5
552,49.8682,90.05,983.9
553,49.95867,90.47,877.7
554,50.05046,91.78,988.1
555,50.14118,90.73,951
556,50.23121,90.03,861.3
557,50.32165,90.44,965.9
558,50.41244,90.79,948.1
559,50.50244,90,882
560,50.59248,90.04,889.9
561,50.68254,90.06,1059.2
562,50.77254,90,937.7
563,50.86255,90,1989.7
564,50.95264,90.09,2482.8
565,51.04264,90,1822.3
566,51.13266,90.02,911.4
567,51.22342,90.76,1049.3
568,51.31618,92.76,1008.8
569,51.40696,90.78,1011.9
570,51.49697,90.01,997.7
571,51.58698,90.02,1061.5
572,51.67823,91.25,1034.3
573,51.76897,90.74,1021.5
574,51.85975,90.78,1013.4
575,51.9509,91.15,1023
576,52.04092,90.02,1069.6
577,52.1315,90.58,1014.4
578,52.22226,90.76,1050.2
579,52.31245,90.2,999.6
580,52.40248,90.03,997
581,52.49252,90.04,1069.1
582,52.58255,90.03,1201
583,52.67255,90,1099.7
584,52.76279,90.24,1002.2
585,52.85361,90.82,981
586,52.94533,91.72,1037.4
587,53.03609,90.76,1208.2
588,53.12609,90.01,1331.2
589,53.21622,90.12,1134.8
590,53.307,90.78,1101.7
591,53.39876,91.76,1063.2
592,53.48946,90.7,1013.2
593,53.58024,90.78,1047.2
594,53.67097,90.73,1068.4
595,53.76097,90,1147
596,53.8514,90.42,1004.6
597,53.94155,90.15,1101.3
598,54.03189,90.34,1352.1
599,54.122,90.11,1301.8
600,54.21246,90.45,1249
601,54.3025,90.04,1578.6
602,54.39252,90.02,1273.3
603,54.48256,90.04,1178.6
604,54.57256,90,1247.1
605,54.66256,90,1221.3
606,54.75306,90.49,1346.4
607,54.84335,90.29,1297.9
608,54.93336,90.02,1168.6
609,55.02489,91.53,1313.9
610,55.11667,91.79,1284.8
611,55.20741,90.73,1252.6
612,55.29786,90.45,1373.1
613,55.38789,90.03,1279.3
614,55.47792,90.02,1187.5
615,55.56844,90.53,1240.5
616,55.65927,90.82,1297.3
617,55.75036,91.09,1265.8
618,55.84081,90.45,1415
619,55.93081,90,1260.6
620,56.02087,90.06,1253.8
621,56.11126,90.39,1241.8
622,56.20191,90.65,1222
623,56.29227,90.37,1307.1
624,56.3825,90.23,1318.8
625,56.4725,90,1214.7
626,56.56254,90.04,1270.3
627,56.6533,90.75,1259.9
628,56.74406,90.76,1259.6
629,56.83482,90.76,1418.2
630,56.92558,90.76,1213.1
631,57.0163,90.73,1222
632,57.10712,90.82,1323.9
