SampleNumber,CTime,Duration,PowerData
387,34.94216,90.73,14115.39
388,35.03236,90.2,14137.17
389,35.12238,90.02,13912.85
390,35.21239,90,14639.52
391,35.30242,90.03,13964.38
392,35.39246,90.04,13608.76
393,35.48246,90,13998.23
394,35.57249,90.03,13962.51
395,35.66249,90.01,14119.95
396,35.75262,90.13,14025.47
397,35.84435,91.73,13981.92
398,35.93511,90.75,13561.16
399,36.02512,90.01,14405.13
400,36.11568,90.56,13715.31
401,36.20744,91.76,13847.6
402,36.29818,90.73,14611.19
403,36.38894,90.76,14105.69
404,36.47975,90.81,13449.86
405,36.56989,90.14,14658.08
406,36.6603,90.41,13352.89
407,36.75057,90.26,15333.09
408,36.84088,90.31,13854.27
409,36.93089,90.01,13454.9
410,37.0215,90.62,13780.12
411,37.11242,90.92,14284.15
412,37.20243,90,13253.06
413,37.29243,90,13681.82
414,37.38247,90.04,13600.57
415,37.47247,90,13621.86
416,37.56247,90,14539.45
417,37.65276,90.29,14209.61
418,37.74358,90.82,13826.73
419,37.83431,90.73,13566.63
420,37.92506,90.76,14391.97
421,38.01585,90.78,14146.65
422,38.10757,91.73,14127.26
423,38.19759,90.02,13148.8
424,38.28916,91.57,14570.68
425,38.37981,90.66,13628.59
426,38.47017,90.35,13796.05
427,38.56046,90.3,14275.42
428,38.65047,90.01,14002.3
429,38.74106,90.59,13354.31
430,38.83178,90.72,14440.02
431,38.92178,90,13633.83
432,39.01231,90.52,13958.72
433,39.10244,90.13,14548.1
434,39.19247,90.04,13944.49
435,39.2825,90.03,13911.72
436,39.37337,90.87,14359.51
437,39.46337,90.01,13308.86
438,39.55393,90.56,13771.46
439,39.64462,90.69,15147.4
440,39.73545,90.83,14822.57
441,39.82604,90.59,15942.77
442,39.9165,90.46,14637.29
443,40.00673,90.23,15778.76
444,40.09699,90.26,20041.29
445,40.18752,90.53,20120.76
446,40.27752,90,20103.39
447,40.36829,90.77,24243.49
448,40.45864,90.35,20065.35
449,40.5488,90.16,20376.3
450,40.6389,90.09,22692.78
451,40.72891,90.02,27892.26
452,40.81906,90.15,25934.14
453,40.90981,90.75,21676.51
454,41.00106,91.24,22623.63
455,41.09105,90,21530.56
456,41.18106,90.01,21371.13
457,41.27106,90,30274.22
458,41.36137,90.3,26045.19
459,41.45137,90,20246.03
460,41.54189,90.52,21170.12
461,41.63227,90.39,21314.41
462,41.72239,90.11,21953.24
463,41.81239,90.01,21993.51
464,41.90242,90.02,13317.75
465,41.99242,90,11076.84
466,42.08245,90.03,11228.18
467,42.17247,90.03,10105.86
468,42.26248,90,9853.02
469,42.35252,90.04,11000.41
470,42.44252,90.01,10372.67
471,42.53253,90,10181.01
472,42.62304,90.51,11129.22
473,42.71585,92.82,9731.79
474,42.80812,92.27,10832.88
475,42.89885,90.72,10702.13
476,42.98963,90.78,11107.25
477,43.08039,90.76,9727.68
478,43.17212,91.73,9932.41
479,43.26239,90.28,9827.82
480,43.35245,90.06,9630.8
481,43.44246,90.01,10122.11
482,43.53249,90.03,9834.6
483,43.62291,90.42,11347.88
484,43.71292,90.01,11240.13
485,43.80346,90.54,10901.47
486,43.89423,90.76,9786.9
487,43.98597,91.74,15475.87
488,44.07601,90.04,10090.07
489,44.16606,90.04,10099.11
490,44.25877,92.71,9695.49
491,44.34956,90.79,9748.59
492,44.44028,90.72,10224.05
493,44.53103,90.75,10658.3
494,44.6218,90.77,9943.77
495,44.71193,90.13,9985.47
496,44.80219,90.26,10397.93
497,44.89243,90.24,9674.16
498,44.98243,90,11425.5
499,45.07245,90.02,11107.41
500,45.16249,90.04,13343.63
501,45.25294,90.45,10141.72
502,45.34295,90.01,10132.84
503,45.4331,90.15,10144.94
504,45.52339,90.29,11181.15
505,45.61372,90.32,10747.46
506,45.70444,90.72,9965.91
507,45.79518,90.74,10179.23
508,45.88519,90.02,9860.88
509,45.97572,90.53,10291.26
510,46.06647,90.76,12509.33
511,46.15826,91.79,10044.93
512,46.24833,90.07,10191.8
513,46.33836,90.02,10108.86
514,46.42854,90.19,9724.5
